,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,company
71,Maruti Vitara Brezza,2016,745000,70000,Diesel,Individual,Manual,First Owner,Maruti
72,Maruti Vitara Brezza,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,Maruti
73,Hyundai i10 Magna,2011,235000,60000,Petrol,Individual,Manual,Second Owner,Hyundai
74,Maruti Swift VDI,2016,630000,70000,Diesel,Individual,Manual,First Owner,Maruti
75,Toyota Fortuner 4x4,2015,1700000,78000,Diesel,Individual,Manual,Second Owner,Toyota
76,Maruti Swift Star,2013,450000,120000,Diesel,Individual,Manual,Second Owner,Maruti
77,Maruti Ertiga ZXI,2012,450000,120000,Petrol,Individual,Manual,Second Owner,Maruti
78,Tata Indica DLS,2003,50000,70000,Diesel,Individual,Manual,First Owner,Tata
79,Volkswagen Vento Diesel,2013,450000,170000,Diesel,Individual,Manual,First Owner,Volkswagen
80,Toyota Innova 2.5,2016,1200000,140000,Diesel,Individual,Manual,First Owner,Toyota
81,Ford EcoSport 1.5,2015,610000,90000,Diesel,Individual,Manual,First Owner,Ford
82,BMW X1 sDrive20i,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,BMW
83,Maruti Celerio ZXI,2017,484999,10000,Petrol,Dealer,Manual,First Owner,Maruti
84,Datsun GO A,2016,275000,49000,Petrol,Dealer,Manual,First Owner,Datsun
85,Maruti Alto 800,2016,315000,32000,Petrol,Dealer,Manual,First Owner,Maruti
86,Maruti Alto 800,2016,275000,38000,Petrol,Dealer,Manual,First Owner,Maruti
87,Maruti Swift VDI,2015,475000,78000,Diesel,Dealer,Manual,First Owner,Maruti
88,Hyundai i10 Era,2012,290000,28000,Petrol,Dealer,Manual,First Owner,Hyundai
89,Maruti Omni 8,2017,280000,32000,Petrol,Dealer,Manual,First Owner,Maruti
90,Maruti Wagon R,2010,225000,44000,LPG,Dealer,Manual,First Owner,Maruti
91,Volkswagen Polo 1.2,2015,455000,42000,Petrol,Dealer,Manual,First Owner,Volkswagen
92,Hyundai i10 Magna,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,Hyundai
93,Volkswagen Vento Petrol,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,Volkswagen
94,Maruti Zen Estilo,2009,175000,55500,Petrol,Dealer,Manual,First Owner,Maruti
95,Hyundai i20 Asta,2013,525000,61500,Petrol,Dealer,Manual,First Owner,Hyundai
96,Maruti Swift Dzire,2016,600000,150000,Diesel,Individual,Manual,First Owner,Maruti
97,Hyundai Xcent 1.2,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,Hyundai
98,Maruti Alto LX,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,Maruti
99,Hyundai i20 1.4,2017,725000,110000,Diesel,Individual,Manual,First Owner,Hyundai
100,Maruti Wagon R,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,Maruti
101,Tata Manza Aura,2010,200000,100000,Diesel,Individual,Manual,Second Owner,Tata
102,Maruti Swift VXI,2019,615000,10000,Petrol,Individual,Manual,First Owner,Maruti
103,Maruti Eeco 7,2016,270000,100000,Petrol,Individual,Manual,Third Owner,Maruti
104,Maruti Baleno Zeta,2018,610000,35000,Petrol,Individual,Manual,First Owner,Maruti
105,Mahindra Scorpio VLX,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,Mahindra
106,Ford Freestyle Titanium,2020,400000,5000,Petrol,Individual,Manual,Second Owner,Ford
107,Hyundai Verna VTVT,2017,866000,37800,Petrol,Individual,Manual,First Owner,Hyundai
108,Volkswagen Passat 1.8,2010,700000,114000,Petrol,Individual,Manual,First Owner,Volkswagen
109,Tata Indica Vista,2010,300000,48000,Petrol,Individual,Manual,First Owner,Tata
110,Mahindra XUV500 W11,2019,1700000,32000,Diesel,Individual,Manual,First Owner,Mahindra
111,Tata Indigo CS,2016,375000,100000,Diesel,Individual,Manual,First Owner,Tata
112,Hyundai Verna 1.6,2013,522000,150000,Diesel,Individual,Manual,Second Owner,Hyundai
113,Hyundai i20 Magna,2013,451999,69000,Diesel,Individual,Manual,First Owner,Hyundai
114,Toyota Corolla Altis,2009,300000,100000,Petrol,Individual,Manual,Second Owner,Toyota
115,Maruti Celerio VXI,2020,475000,13000,Petrol,Individual,Manual,First Owner,Maruti
116,Maruti Vitara Brezza,2016,780000,60000,Diesel,Individual,Manual,First Owner,Maruti
117,Maruti Swift Dzire,2017,595000,40000,Petrol,Individual,Manual,First Owner,Maruti
118,Maruti Wagon R,2017,440000,35000,Petrol,Individual,Manual,First Owner,Maruti
119,Maruti Swift VDI,2010,300000,120000,Diesel,Individual,Manual,Second Owner,Maruti
120,Nissan Terrano XL,2014,400000,70000,Diesel,Individual,Manual,Third Owner,Nissan
121,Hyundai Creta 1.6,2016,1140000,50000,Diesel,Individual,Manual,First Owner,Hyundai
122,Ford EcoSport 1.5,2017,850000,76139,Diesel,Individual,Manual,First Owner,Ford
123,Maruti Swift Dzire,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti
124,Renault KWID 1.0,2018,350000,25000,Petrol,Individual,Manual,First Owner,Renault
125,Maruti Celerio VXI,2015,360000,40000,Petrol,Individual,Manual,Second Owner,Maruti
126,Maruti Alto LXi,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti
127,Maruti Ertiga VDI,2013,625000,90000,Diesel,Individual,Manual,Second Owner,Maruti
128,Hyundai Santro Xing,2009,135000,80000,Petrol,Individual,Manual,Second Owner,Hyundai
129,Maruti Ertiga VDI,2015,700000,110000,Diesel,Individual,Manual,Second Owner,Maruti
130,Honda Amaze S,2019,690000,1303,Petrol,Dealer,Manual,First Owner,Honda
131,Audi Q5 35TDI,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,Audi
132,Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,Lexus
133,Jaguar XF 2.0,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,Jaguar
134,Jeep Wrangler 2016-2019,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,Jeep
135,Land Rover Discovery,2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,Land
136,Mercedes-Benz S-Class S,2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz
137,BMW 5 Series,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,BMW
138,BMW X1 sDrive,2017,2150000,27000,Diesel,Dealer,Automatic,First Owner,BMW
139,BMW X4 M,2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,BMW
140,Skoda Superb LK,2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,Skoda
141,Mercedes-Benz E-Class E250,2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz
142,MG Hector Sharp,2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,MG
143,Honda City i-VTEC,2017,795000,41000,Petrol,Dealer,Automatic,First Owner,Honda
144,Toyota Corolla Altis,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,Toyota
145,Volvo XC40 D4,2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,Volvo
146,Audi Q7 35,2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,Audi
147,Maruti Ciaz ZDi,2015,535000,40000,Diesel,Dealer,Manual,First Owner,Maruti
148,Mercedes-Benz S-Class S,2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz
149,BMW 5 Series,2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,BMW
150,Hyundai Elantra S,2016,805000,49900,Petrol,Dealer,Manual,First Owner,Hyundai
151,Jaguar XE 2016-2019,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,Jaguar
152,Tata Nexon 1.2,2018,811000,11000,Petrol,Dealer,Manual,First Owner,Tata
153,Volkswagen Vento Petrol,2011,375000,49000,Petrol,Individual,Manual,First Owner,Volkswagen
154,Hyundai Elantra SX,2012,550000,95000,Petrol,Individual,Manual,First Owner,Hyundai
155,Skoda Rapid 1.6,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,Skoda
156,Mercedes-Benz CLA 200,2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,Mercedes-Benz
157,Maruti Ertiga ZXI,2014,599000,46100,Petrol,Dealer,Manual,First Owner,Maruti
158,Mercedes-Benz New C-Class,2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,Mercedes-Benz
159,Honda City V,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,Honda
160,Toyota Glanza V,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,Toyota
161,Maruti Alto K10,2011,175000,11000,Petrol,Dealer,Manual,First Owner,Maruti
162,Maruti Swift VXI,2012,340000,24300,Petrol,Dealer,Manual,First Owner,Maruti
163,Toyota Innova Crysta,2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,Toyota
164,Tata Nexon 1.5,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,Tata
165,BMW 3 Series,2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,BMW
166,Toyota Camry 2.5,2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,Toyota
167,BMW 5 Series,2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,BMW
168,Toyota Camry W4,2009,450000,71000,Petrol,Dealer,Automatic,First Owner,Toyota
169,Maruti Ertiga BSIV,2016,850000,20000,Petrol,Individual,Manual,First Owner,Maruti
170,Volvo XC90 T8,2017,10000000,30000,Petrol,Individual,Automatic,First Owner,Volvo
171,Volkswagen Vento Diesel,2011,300000,100000,Diesel,Individual,Manual,Second Owner,Volkswagen
172,Ford Figo Aspire,2018,575000,9500,Petrol,Individual,Manual,First Owner,Ford
173,Ford Figo Diesel,2011,160000,120000,Diesel,Individual,Manual,First Owner,Ford
174,Maruti Swift VXI,2015,515000,36600,Petrol,Individual,Manual,First Owner,Maruti
175,Maruti Wagon R,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,Maruti
176,Hyundai i20 Magna,2016,550000,14000,Petrol,Individual,Manual,Second Owner,Hyundai
177,Maruti 800 Std,1999,40000,40000,Petrol,Individual,Manual,Second Owner,Maruti
178,Maruti Ritz VDi,2010,220000,120000,Diesel,Individual,Manual,First Owner,Maruti
179,Hyundai Grand i10,2015,425000,70000,Petrol,Individual,Manual,First Owner,Hyundai
180,Volkswagen Ameo 1.0,2019,480000,13000,Petrol,Individual,Manual,First Owner,Volkswagen
181,Hyundai Grand i10,2014,400000,60000,Petrol,Individual,Manual,Second Owner,Hyundai
182,Maruti Swift Dzire,2014,487000,35000,Petrol,Individual,Manual,First Owner,Maruti
183,Hyundai Xcent 1.2,2016,386000,44000,Petrol,Individual,Manual,Second Owner,Hyundai
184,Honda City 1.5,2005,100000,120000,Petrol,Individual,Manual,Second Owner,Honda
185,Toyota Corolla Altis,2010,300000,60000,Diesel,Individual,Manual,First Owner,Toyota
186,Daewoo Matiz SD,2000,100000,60000,Petrol,Individual,Manual,First Owner,Daewoo
187,Toyota Fortuner 4x2,2014,1750000,30000,Diesel,Individual,Manual,Second Owner,Toyota
188,Mahindra KUV 100,2016,450000,15000,Petrol,Individual,Manual,Second Owner,Mahindra
189,Tata Zest Quadrajet,2017,490000,90000,Diesel,Individual,Manual,First Owner,Tata
190,Honda City 1.5,2009,345000,47000,Petrol,Individual,Manual,Second Owner,Honda
191,Maruti Zen LXI,2005,85000,90000,Petrol,Individual,Manual,First Owner,Maruti
192,Maruti Wagon R,2010,215000,120600,Petrol,Individual,Manual,Second Owner,Maruti
193,Hyundai Verna Transform,2010,320000,100000,Petrol,Individual,Manual,Third Owner,Hyundai
194,Maruti Swift Dzire,2016,459999,60000,Petrol,Individual,Manual,Second Owner,Maruti
195,Hyundai Getz GLS,2005,65000,86000,Petrol,Individual,Manual,First Owner,Hyundai
196,Hyundai Elite i20,2020,720000,5000,Petrol,Individual,Manual,First Owner,Hyundai
197,Maruti Ciaz 1.3,2017,800000,37000,Diesel,Individual,Manual,First Owner,Maruti
198,Tata Tigor 1.2,2019,520000,14000,Petrol,Individual,Manual,First Owner,Tata
199,Maruti Ertiga VDI,2015,580000,70000,Diesel,Individual,Manual,First Owner,Maruti
200,Toyota Etios GD,2012,235000,120000,Diesel,Individual,Manual,First Owner,Toyota
201,Honda City i,2015,600000,50000,Petrol,Individual,Manual,First Owner,Honda
202,Honda Brio S,2014,290000,60000,Petrol,Individual,Manual,Second Owner,Honda
203,Maruti Wagon R,2016,360000,50000,CNG,Individual,Manual,First Owner,Maruti
204,Maruti Swift Dzire,2017,550000,50000,Petrol,Individual,Manual,First Owner,Maruti
205,Hyundai i20 Sportz,2013,375000,70000,Petrol,Individual,Manual,First Owner,Hyundai
206,Maruti Omni E,2003,40000,90000,Petrol,Individual,Manual,Second Owner,Maruti
207,Maruti Wagon R,2018,420000,35000,Petrol,Individual,Automatic,First Owner,Maruti
208,Maruti Swift Dzire,2017,550000,20000,Petrol,Individual,Manual,First Owner,Maruti
209,Maruti Alto 800,2018,270000,20000,Petrol,Individual,Manual,First Owner,Maruti
210,Maruti Swift Dzire,2018,700000,7800,Petrol,Individual,Automatic,First Owner,Maruti
211,Maruti Swift VXI,2017,500000,20000,Petrol,Individual,Manual,First Owner,Maruti
212,Tata Hexa XE,2019,1250000,15000,Diesel,Individual,Manual,First Owner,Tata
213,Hyundai i20 Magna,2013,320000,31377,Petrol,Individual,Manual,Second Owner,Hyundai
214,Maruti Swift Dzire,2018,700000,50000,Diesel,Individual,Manual,First Owner,Maruti
215,Maruti Wagon R,2015,290000,60000,Petrol,Individual,Manual,First Owner,Maruti
216,Toyota Corolla Altis,2012,550000,100000,Petrol,Individual,Automatic,First Owner,Toyota
217,Honda Brio S,2012,265000,60000,Petrol,Individual,Manual,First Owner,Honda
218,Maruti Baleno Alpha,2018,830000,5000,Petrol,Individual,Automatic,First Owner,Maruti
219,Tata Safari Storme,2017,800000,60000,Diesel,Individual,Manual,First Owner,Tata
220,Maruti Alto LXi,2011,160000,25000,Petrol,Individual,Manual,Second Owner,Maruti
221,Renault KWID RXT,2018,335000,30000,Petrol,Individual,Manual,First Owner,Renault
222,Datsun GO T,2017,329000,80000,Petrol,Individual,Manual,Second Owner,Datsun
223,Maruti Vitara Brezza,2017,775000,75000,Diesel,Individual,Manual,First Owner,Maruti
224,Hyundai Xcent 1.2,2020,524000,32000,Petrol,Individual,Manual,First Owner,Hyundai
225,Maruti Alto 800,2015,245000,40000,Petrol,Individual,Manual,First Owner,Maruti
226,Hyundai i20 1.2,2012,275000,93000,Petrol,Individual,Manual,Second Owner,Hyundai
227,Tata Zest Revotron,2018,520000,60000,Petrol,Individual,Manual,First Owner,Tata
228,Maruti Swift 1.3,2008,130000,120000,Petrol,Individual,Manual,Second Owner,Maruti
229,Nissan Sunny XL,2014,550000,37000,Petrol,Individual,Manual,First Owner,Nissan
230,Ford EcoSport 1.5,2018,910000,15000,Petrol,Individual,Manual,First Owner,Ford
231,Nissan Micra Active,2015,300000,80000,Petrol,Individual,Manual,First Owner,Nissan
232,Maruti Wagon R,2016,350000,140000,Petrol,Individual,Manual,First Owner,Maruti
233,Mahindra Ssangyong Rexton,2013,900000,70000,Diesel,Individual,Manual,First Owner,Mahindra
234,Mahindra Quanto C8,2013,300000,120000,Diesel,Individual,Manual,Second Owner,Mahindra
235,Maruti Ritz LDi,2010,250000,110000,Diesel,Individual,Manual,Second Owner,Maruti
236,Hyundai Creta 1.6,2017,1100000,37000,Diesel,Individual,Manual,First Owner,Hyundai
237,Renault KWID RXT,2016,270000,44000,Petrol,Individual,Manual,First Owner,Renault
238,Maruti Ertiga VDI,2015,640000,80000,Diesel,Individual,Manual,First Owner,Maruti
239,Mahindra XUV500 W4,2015,650000,125000,Diesel,Individual,Manual,First Owner,Mahindra
240,Maruti Eeco 5,2017,409999,13500,Petrol,Individual,Manual,First Owner,Maruti
241,Hyundai Santro Xing,2011,165000,75000,Petrol,Individual,Manual,First Owner,Hyundai
242,Hyundai Accent GLE,2007,80000,120000,Petrol,Individual,Manual,Second Owner,Hyundai
243,Mahindra XUV500 W8,2012,535000,120000,Diesel,Individual,Manual,First Owner,Mahindra
244,Toyota Innova 2.5,2013,700000,70000,Diesel,Individual,Manual,First Owner,Toyota
245,Maruti Swift Dzire,2013,550000,70000,Diesel,Individual,Manual,First Owner,Maruti
246,Honda Amaze S,2019,680000,15000,Petrol,Individual,Automatic,First Owner,Honda
247,Hyundai i10 Sportz,2009,200000,53000,Petrol,Individual,Manual,Second Owner,Hyundai
248,Maruti Swift Dzire,2014,500000,120000,Diesel,Individual,Manual,Second Owner,Maruti
249,Maruti Ertiga SHVS,2016,1000000,70000,Diesel,Individual,Manual,First Owner,Maruti
250,Hyundai Getz 1.3,2008,110000,120000,Petrol,Individual,Manual,Second Owner,Hyundai
251,Hyundai i20 1.2,2012,320000,100000,Petrol,Individual,Manual,Second Owner,Hyundai
252,Tata Indica DLS,2005,75000,110000,Diesel,Individual,Manual,Second Owner,Tata
253,Maruti Swift LXI,2015,350000,100000,Petrol,Individual,Manual,First Owner,Maruti
254,Tata Indica Vista,2013,170000,162500,Diesel,Individual,Manual,First Owner,Tata
255,Hyundai i20 2015-2017,2017,800000,39000,Diesel,Individual,Manual,First Owner,Hyundai
256,Maruti Ignis 1.3,2017,500000,75000,Diesel,Individual,Manual,First Owner,Maruti
257,Tata Hexa XTA,2017,1380000,50000,Diesel,Individual,Automatic,First Owner,Tata
258,Mahindra Marazzo M6,2019,1300000,40000,Diesel,Individual,Manual,First Owner,Mahindra
259,Hyundai Verna 1.6,2013,530000,92500,Diesel,Individual,Manual,First Owner,Hyundai
260,Maruti Swift Dzire,2012,360000,158000,Diesel,Individual,Manual,First Owner,Maruti
261,Maruti Swift Dzire,2012,310000,120000,Diesel,Individual,Manual,First Owner,Maruti
262,Honda City i,2015,725000,50000,Diesel,Individual,Manual,Second Owner,Honda
263,Maruti Swift Dzire,2012,340000,110000,Diesel,Individual,Manual,First Owner,Maruti
264,Hyundai Xcent 1.2,2017,550000,2000,Diesel,Individual,Manual,Second Owner,Hyundai
265,Toyota Fortuner 3.0,2011,1150000,181000,Diesel,Individual,Manual,Second Owner,Toyota
266,Tata Tiago 1.05,2016,380000,70000,Diesel,Individual,Manual,First Owner,Tata
267,Nissan Sunny XL,2013,350000,90000,Petrol,Individual,Automatic,Second Owner,Nissan
268,Hyundai Elite i20,2019,610000,2000,Petrol,Individual,Manual,First Owner,Hyundai
269,Maruti Swift Dzire,2015,525000,20000,Petrol,Individual,Manual,First Owner,Maruti
270,Toyota Innova 2.5,2011,480000,120000,Diesel,Individual,Manual,First Owner,Toyota
271,Mahindra Thar CRDe,2017,780000,35000,Diesel,Individual,Manual,First Owner,Mahindra
272,Maruti Swift Dzire,2012,320000,193000,Diesel,Individual,Manual,First Owner,Maruti
273,Maruti Swift 1.2,2014,375000,80000,Petrol,Individual,Manual,First Owner,Maruti
274,Datsun GO D,2019,300000,40000,Petrol,Individual,Manual,First Owner,Datsun
275,Hyundai i20 Asta,2015,500000,70000,Diesel,Individual,Manual,Fourth & Above Owner,Hyundai
276,Mahindra Scorpio LX,2011,404000,122358,Diesel,Individual,Manual,First Owner,Mahindra
277,Tata Sumo Gold,2015,500000,75000,Diesel,Individual,Manual,First Owner,Tata
278,Tata Tiago Wizz,2017,350000,120000,Diesel,Individual,Manual,First Owner,Tata
279,Tata Zest Revotron,2015,380000,40000,Petrol,Individual,Manual,First Owner,Tata
280,Hyundai Accent GLE,2008,114999,95200,Petrol,Individual,Manual,Third Owner,Hyundai
281,Honda Brio Exclusive,2014,335000,33033,Petrol,Dealer,Manual,First Owner,Honda
282,Hyundai Grand i10,2015,465000,63063,Petrol,Dealer,Automatic,First Owner,Hyundai
283,Tata Manza Club,2012,290000,60000,Diesel,Individual,Manual,First Owner,Tata
284,Maruti Alto LX,2005,110000,45000,Petrol,Individual,Manual,Second Owner,Maruti
285,Tata New Safari,2011,450000,80000,Diesel,Individual,Manual,Third Owner,Tata
286,Mahindra Bolero SLE,2009,400000,170000,Diesel,Individual,Manual,Second Owner,Mahindra
287,Mahindra Bolero DI,2007,210000,207890,Diesel,Individual,Manual,Second Owner,Mahindra
288,Mercedes-Benz GL-Class 220d,2018,4600000,7976,Diesel,Individual,Automatic,First Owner,Mercedes-Benz
289,Maruti Omni E,2016,220000,35000,Petrol,Individual,Manual,First Owner,Maruti
290,Hyundai Grand i10,2017,450000,35000,Petrol,Individual,Manual,First Owner,Hyundai
291,Hyundai Grand i10,2017,450000,35000,Petrol,Individual,Manual,First Owner,Hyundai
292,Hyundai i10 Sportz,2013,290000,50000,Petrol,Individual,Automatic,First Owner,Hyundai
293,Maruti Swift VXI,2016,520000,20000,Petrol,Individual,Manual,First Owner,Maruti
294,Hyundai i10 Sportz,2011,265000,20000,Petrol,Individual,Automatic,First Owner,Hyundai
295,Maruti Swift VXI,2012,330000,50000,Petrol,Individual,Manual,Second Owner,Maruti
296,Maruti Swift VXI,2012,330000,50000,Petrol,Individual,Manual,Second Owner,Maruti
297,Mahindra Bolero 2011-2019,2014,509999,120000,Diesel,Individual,Manual,First Owner,Mahindra
